;open_time;close_time;interval;open_price;close_price;low_price;high_price;volume;nr_trades
758;1642204800;1642291199;86399;3307.42;3326.04;3261.0;3371.64;406200.7556;888970
759;1642291200;1642377599;86399;3326.51;3346.88;3269.62;3393.6;421564.4554;990634
760;1642377600;1642463999;86399;3346.89;3209.67;3141.1;3357.57;568127.3096;1292838
761;1642464000;1642550399;86399;3209.68;3159.85;3082.0;3243.87;598268.5456;1158968
762;1642550400;1642636799;86399;3159.85;3084.02;3000.0;3174.87;665993.1406;1294766
763;1642636800;1642723199;86399;3084.02;3001.48;2987.15;3273.37;715193.4124;1437892
764;1642723200;1642809599;86399;3001.48;2568.15;2403.0;3034.12;2044043.40048;3446432
765;1642809600;1642895999;86399;2567.47;2412.18;2300.0;2626.0;2162715.09786;3989026
766;1642896000;1642982399;86399;2412.18;2539.01;2370.8;2556.78;1160995.5226;2107310
767;1642982400;1643068799;86399;2539.0;2439.29;2159.0;2539.75;2246269.40778;3697778
768;1643068800;1643155199;86399;2439.56;2458.83;2348.96;2506.55;1020305.908;1892732
769;1643155200;1643241599;86399;2459.04;2462.99;2402.03;2722.0;1612883.24578;2769842
770;1643241600;1643327999;86399;2463.0;2424.25;2316.43;2521.0;1198963.4318;2058408
771;1643328000;1643414399;86399;2424.02;2544.99;2357.88;2558.98;970299.613;1768610
772;1643414400;1643500799;86399;2544.99;2601.43;2520.01;2636.66;753333.6492;1312034
773;1643500800;1643587199;86399;2601.43;2601.68;2542.5;2640.0;581540.1718;1128956
774;1643587200;1643673599;86399;2601.67;2686.94;2476.07;2706.77;889169.702;1629994
775;1643673600;1643759999;86399;2686.94;2787.23;2673.52;2813.0;780068.54724;1580686
776;1643760000;1643846399;86399;2787.48;2680.67;2612.72;2810.88;895704.2456;1639726
777;1643846400;1643932799;86399;2680.25;2695.46;2576.05;2726.64;810086.7862;1452026
778;1643932800;1644019199;86399;2695.21;2994.99;2671.4;2995.0;1328005.8656;2470430
779;1644019200;1644105599;86399;2994.99;3012.65;2958.01;3060.47;713606.6142;1461004
780;1644105600;1644191999;86399;3012.64;3054.99;2950.21;3074.56;498789.1932;1044552
781;1644192000;1644278399;86399;3055.0;3139.77;2991.8;3186.0;910140.5058;1797846
782;1644278400;1644364799;86399;3139.77;3116.69;3025.21;3232.87;1029547.1674;1821764
783;1644364800;1644451199;86399;3116.69;3243.94;3055.0;3269.7;740535.7826;1476030
784;1644451200;1644537599;86399;3243.6;3072.49;3056.74;3283.66;1156425.6766;2078320
785;1644537600;1644623999;86399;3072.36;2927.54;2879.0;3138.62;924051.7502;1825758
786;1644624000;1644710399;86399;2927.54;2918.88;2858.3;2985.98;672500.6262;1216832
787;1644710400;1644796799;86399;2918.58;2871.13;2836.7;2954.4;485502.7094;889080
788;1644796800;1644883199;86399;2871.14;2929.75;2829.01;2964.97;763556.476;1215706
789;1644883200;1644969599;86399;2929.75;3183.52;2912.06;3196.19;897943.508;1591848
790;1644969600;1645055999;86399;3183.53;3122.3;3044.03;3186.77;639995.2488;1266894
791;1645056000;1645142399;86399;3122.31;2891.87;2851.55;3160.0;977386.5248;1681104
792;1645142400;1645228799;86399;2891.88;2779.48;2750.0;2943.97;1005954.8138;1484918
793;1645228800;1645315199;86399;2779.3;2763.63;2694.45;2830.96;587676.005;948894
794;1645315200;1645401599;86399;2763.63;2621.99;2576.0;2764.64;772769.808;1231980
795;1645401600;1645487999;86399;2621.99;2568.02;2558.0;2759.51;1523677.9716;2232970
796;1645488000;1645574399;86399;2568.03;2636.29;2500.0;2665.74;1385278.9884;2095830
797;1645574400;1645660799;86399;2636.28;2579.71;2575.83;2753.55;1008940.2824;1678962
798;1645660800;1645747199;86399;2579.7;2596.2;2300.0;2740.0;2791465.5506;3548076
799;1645747200;1645833599;86399;2596.26;2768.49;2571.72;2834.97;1358788.3524;2204028
800;1645833600;1645919999;86399;2768.05;2779.47;2727.5;2878.0;836970.5058;1563366
801;1645920000;1646006399;86399;2779.47;2616.79;2557.98;2836.33;1300397.557;2298368
802;1646006400;1646092799;86399;2616.79;2920.95;2568.62;2951.6;1467588.8976;2407748
803;1646092800;1646179199;86399;2920.83;2976.33;2854.09;3037.94;1347803.3952;2474972
804;1646179200;1646265599;86399;2976.33;2947.3;2914.21;3043.91;1229247.4922;2100386
805;1646265600;1646351999;86399;2947.31;2833.99;2785.0;2970.97;892384.4706;1541476
806;1646352000;1646438399;86399;2834.0;2622.1;2573.0;2836.17;1112357.5176;1869692
807;1646438400;1646524799;86399;2622.11;2665.15;2589.38;2685.12;537460.6072;1063658
808;1646524800;1646611199;86399;2665.16;2551.29;2535.0;2676.29;672975.8198;1057574
809;1646611200;1646697599;86399;2551.3;2491.12;2445.0;2649.0;1240343.3574;1740860
810;1646697600;1646783999;86399;2491.12;2575.97;2480.15;2624.0;1123319.4842;1624188
811;1646784000;1646870399;86399;2575.98;2726.98;2567.7;2775.85;1125543.4806;1680662
812;1646870400;1646956799;86399;2726.98;2606.7;2550.27;2733.25;1118059.8754;1481352
813;1646956800;1647043199;86399;2606.69;2556.86;2522.57;2676.78;989167.3136;1368814
814;1647043200;1647129599;86399;2556.86;2568.8;2553.39;2616.79;438473.1422;654244
815;1647129600;1647215999;86399;2568.8;2515.65;2493.0;2603.32;633884.3202;888704
816;1647216000;1647302399;86399;2515.66;2589.41;2498.67;2609.6;773260.3824;1218244
817;1647302400;1647388799;86399;2589.42;2617.73;2507.0;2669.0;922404.6028;1373594
818;1647388800;1647475199;86399;2617.74;2773.81;2603.38;2788.0;1332449.4434;2110342
819;1647475200;1647561599;86399;2773.8;2811.92;2746.42;2836.0;758625.082;1195770
820;1647561600;1647647999;86399;2811.91;2938.92;2765.59;2984.0;1113071.5932;1589548
821;1647648000;1647734399;86399;2938.84;2950.84;2890.86;2987.7;651943.0796;1112812
822;1647734400;1647820799;86399;2950.85;2861.38;2817.21;2964.17;755217.6428;1303654
823;1647820800;1647907199;86399;2861.39;2890.03;2829.81;2960.57;900447.8146;1381296
824;1647907200;1647993599;86399;2890.03;2969.64;2886.43;3052.85;1129737.9678;1841340
825;1647993600;1648079999;86399;2969.64;3036.0;2920.65;3045.2;907925.4596;1626104
826;1648080000;1648166399;86399;3035.99;3110.76;2999.11;3129.11;1154343.0478;1707644
827;1648166400;1648252799;86399;3110.75;3102.14;3076.0;3193.28;978199.1144;1491998
828;1648252800;1648339199;86399;3102.13;3145.0;3084.9;3153.2;414269.694;806178
829;1648339200;1648425599;86399;3145.01;3295.65;3126.02;3299.37;670934.829;1291350
830;1648425600;1648511999;86399;3295.65;3332.92;3275.01;3431.15;1054474.2266;1928158
831;1648512000;1648598399;86399;3332.91;3400.51;3329.68;3481.87;931799.6452;1768634
832;1648598400;1648684799;86399;3400.51;3385.79;3331.84;3446.9;712165.0462;1350030
833;1648684800;1648771199;86399;3385.8;3281.51;3261.35;3444.83;910182.479;1541128
834;1648771200;1648857599;86399;3281.51;3455.21;3210.68;3481.29;1064338.4784;1766158
835;1648857600;1648943999;86399;3455.2;3443.77;3433.14;3532.2;999786.58;1527570
836;1648944000;1649030399;86399;3443.77;3521.91;3412.11;3580.34;763163.5366;1239516
837;1649030400;1649116799;86399;3521.9;3519.5;3405.97;3547.0;899968.3172;1621354
838;1649116800;1649203199;86399;3519.5;3406.99;3400.0;3555.0;795565.4874;1348368
839;1649203200;1649289599;86399;3407.0;3168.51;3162.39;3407.5;1472546.2094;2197546
840;1649289600;1649375999;86399;3168.52;3227.19;3143.15;3268.98;916358.6544;1412764
841;1649376000;1649462399;86399;3227.2;3192.39;3173.52;3314.02;1004845.0096;1621504
842;1649462400;1649548799;86399;3192.39;3258.57;3181.28;3268.4;424888.5132;772308
843;1649548800;1649635199;86399;3258.57;3203.04;3193.0;3307.22;464606.4652;879622
844;1649635200;1649721599;86399;3203.04;2979.74;2950.0;3213.63;1386788.5824;1939664
845;1649721600;1649807999;86399;2979.75;3027.66;2950.0;3085.0;1159045.901;1484428
846;1649808000;1649894399;86399;3027.65;3118.28;2996.86;3128.97;838202.988;1246656
847;1649894400;1649980799;86399;3118.28;3021.98;2976.3;3145.0;816765.1144;1080798
848;1649980800;1650067199;86399;3021.98;3040.56;2993.13;3060.92;499252.5962;776272
849;1650067200;1650153599;86399;3040.57;3059.3;3010.03;3086.1;352704.833;596000
850;1650153600;1650239999;86399;3059.3;2988.06;2981.7;3083.0;487544.148;779918
851;1650240000;1650326399;86399;2988.07;3055.56;2883.22;3069.6;1020503.3072;1407244
852;1650326400;1650412799;86399;3055.56;3101.77;3030.34;3131.0;718750.0076;1042120
853;1650412800;1650499199;86399;3101.74;3076.04;3036.45;3166.5;830000.137;1142584
854;1650499200;1650585599;86399;3076.03;2983.58;2942.31;3180.0;1125399.394;1439318
855;1650585600;1650671999;86399;2983.57;2962.39;2930.35;3034.32;904866.164;1208168
856;1650672000;1650758399;86399;2962.39;2933.03;2913.89;2978.03;375153.4648;696870
857;1650758400;1650844799;86399;2933.04;2921.0;2912.09;2967.06;437914.0444;708026
858;1650844800;1650931199;86399;2920.99;3006.62;2797.01;3025.65;1238396.7232;1609870
859;1650931200;1651017599;86399;3006.63;2809.67;2767.0;3039.54;1062368.7008;1551304
860;1651017600;1651103999;86399;2809.68;2888.96;2794.46;2919.87;977902.4832;1339832
861;1651104000;1651190399;86399;2888.95;2936.93;2853.83;2980.0;1074785.9956;1473636
862;1651190400;1651276799;86399;2936.92;2817.13;2776.63;2946.46;1051956.294;1356546
863;1651276800;1651363199;86399;2817.13;2726.66;2709.26;2841.63;735514.4938;1154570
